subset_name,session_label,run_id,run_uid,start_time_utc,end_time_utc,segmentation_valid,point_count,duration_s,vertical_drop_m,speed_mean_ms,speed_p95_ms,vvert_mean_ms,path_len_m,n_hr_samples,hr_mean_bpm,impulse_hr_above_rest_bpms,edwards_trimp,z_mech,z_internal,combined_load_v2,pipeline_status,failure_reason,perturbation_type,perturbation_level,repeat_id,seed
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.541164686166,7.818986297563068,23.327145928436725,-1.335130685312084,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.40844334650072756,-0.2926671333804062,-0.35055523994056687,success,,elevation,2.0,1,4342
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,325.2858946714125,7.818986297563068,23.327145928436725,-1.6022895865775153,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.42768086132587174,-0.2926671333804062,-0.36017399735313893,success,,elevation,2.0,2,4443
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.0642219160907,7.818986297563068,23.327145928436725,-1.4810604266271543,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.4112619125700507,-0.2926671333804062,-0.3519645229752284,success,,elevation,2.0,3,4544
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.93148819881094,7.818986297563068,23.327145928436725,-1.4049853679391753,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.4179559752992095,-0.2926671333804062,-0.3553115543398079,success,,elevation,2.0,4,4645
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.1296771369482,7.818986297563068,23.327145928436725,-1.3890861313926126,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.41087509495556007,-0.2926671333804062,-0.3517711141679831,success,,elevation,2.0,5,4746
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,331.93194219772704,7.818986297563068,23.327145928436725,-1.5572126161815922,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.388405029448137,-0.2926671333804062,-0.3405360814142716,success,,elevation,5.0,1,4347
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,324.44963433342446,7.818986297563068,23.327145928436725,-1.343626691286167,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.4326228693856682,-0.2926671333804062,-0.3626450013830372,success,,elevation,5.0,2,4448
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,326.99312569488006,7.818986297563068,23.327145928436725,-1.276849356671763,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.4175917191118455,-0.2926671333804062,-0.35512942624612587,success,,elevation,5.0,3,4549
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,330.48922770604986,7.818986297563068,23.327145928436725,-1.5106127397770974,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.39693097085892715,-0.2926671333804062,-0.34479905211966666,success,,elevation,5.0,4,4650
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,325.2026542238186,7.818986297563068,23.327145928436725,-1.4068166649175373,1980.5749269264052,249,118.21285140562249,15740.0,5.749999999999999,-0.4281727834513426,-0.2926671333804062,-0.3604199584158744,success,,elevation,5.0,5,4751
