run_id,duration_s,vertical_drop_m,z_mech,z_internal,z_trimp,combined_load_v2
run_01,659.8119999999999,454.5684814453125,0.3596861089315574,1.513354766203155,-0.6782216783274275,0.936520437567356
run_02,184.38599999999997,103.9517822265625,-1.5831132134908048,-1.4372136811732554,-0.9626564967273002,-1.51016344733203
run_03,355.9830000000002,343.639892578125,-0.5401975085742242,-0.080724476574955,-0.3184952903511179,-0.3104609925745896
run_04,170.9399999999996,95.1187744140625,-1.6092730228709955,-1.6759394269925478,-0.9626564967273002,-1.6426062249317717
run_05,249.3159999999998,329.0059814453125,-0.0272026955369227,-0.7080893766252742,-0.2348379908217436,-0.3676460360810984
run_06,470.759,533.9923095703125,0.9240998942952,0.7777569281101214,0.5933692745190623,0.8509284112026607
run_07,427.5010000000002,529.7828369140625,1.2207169201613308,0.454534533913306,0.2085456966839404,0.8376257270373184
run_08,387.72400000000016,459.3052978515625,0.3574037217267582,0.7523170769857059,2.1493950457654245,0.5548603993562321
run_09,378.991,460.4368896484375,0.3870544498684653,0.6801996418785458,1.8733259573184895,0.5336270458735055
run_10,110.48400000000038,61.013916015625,-1.7920058397823373,-1.657086680177133,-0.3854211299746174,-1.724546259979735
run_11,411.5620000000017,541.1624755859375,1.0158420982677423,0.5720802745997797,0.5599063547073125,0.7939611864337611
run_12,361.9480000000003,459.4781494140625,0.587195109770871,-0.0903779915105591,-0.7786104377626767,0.2484085591301559
run_13,413.3399999999983,457.0855712890625,0.2325673731432055,0.4205768754927692,-0.1009863115747447,0.3265721243179874
run_14,634.1999999999971,456.9786376953125,0.4672266040901506,0.4786115358703422,-0.9626564967273002,0.4729190699802464
