run_id,run_uid,session_label,subset_name,perturbation_type,perturbation_level,perturbation_level_label,repeat_id,seed,top_k_used,pipeline_status,failure_reason,baseline_duration_s,baseline_vertical_drop_m,baseline_impulse_hr_above_rest_bpms,baseline_combined_load_v2,perturbed_duration_s,perturbed_vertical_drop_m,perturbed_impulse_hr_above_rest_bpms,perturbed_combined_load_v2,segmentation_stability,matched_duration_fraction,boundary_shift_start_s,boundary_shift_end_s,boundary_shift_mean_s,vertical_drop_error_m,vertical_drop_abs_error_m,cl_alpha_deviation,cl_alpha_abs_deviation,top_k_consistency,rank_spearman,mean_absolute_rank_shift,run_rank_shift_abs,phase_contrast_deviation,phase_contrast_abs_deviation,meta_n_points_after_perturbation
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,1,4342,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.541164686166,15740.0,-0.27750356372169827,1.0,1.0,0.0,0.0,0.0,-0.4648167591465153,0.4648167591465153,-0.001676393342265714,0.001676393342265714,1.0,0.9999999999999999,0.0,0.0,0.00018626592691839416,0.00018626592691839416,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,2,4443,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,325.2858946714125,15740.0,-0.2892439170386273,1.0,1.0,0.0,0.0,0.0,-3.720086773899993,3.720086773899993,-0.013416746659194734,0.013416746659194734,1.0,0.9999999999999999,0.0,0.0,0.0014907496287993593,0.0014907496287993593,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,3,4544,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.0642219160907,15740.0,-0.27922369034937006,1.0,1.0,0.0,0.0,0.0,-0.9417595292218266,0.9417595292218266,-0.003396519969937506,0.003396519969937506,1.0,0.9999999999999999,0.0,0.0,0.000377391107770797,0.000377391107770797,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,4,4645,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,326.93148819881094,15740.0,-0.28330897175293734,1.0,1.0,0.0,0.0,0.0,-2.074493246501561,2.074493246501561,-0.007481801373504793,0.007481801373504793,1.0,0.9999999999999999,0.0,0.0,0.0008313112637227116,0.0008313112637227116,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,5,4746,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.1296771369482,15740.0,-0.2789876216313153,1.0,1.0,0.0,0.0,0.0,-0.876304308364297,0.876304308364297,-0.0031604512518827454,0.0031604512518827454,1.0,0.9999999999999999,0.0,0.0,0.00035116125020917544,0.00035116125020917544,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,6,4847,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,330.78339368093043,15740.0,-0.2694168119325412,1.0,1.0,0.0,0.0,0.0,1.7774122356179305,1.7774122356179305,0.006410358446891362,0.006410358446891362,1.0,0.9999999999999999,0.0,0.0,-0.0007122620496545773,0.0007122620496545773,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,7,4948,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,324.33766310330634,15740.0,-0.29266377885819284,1.0,1.0,0.0,0.0,0.0,-4.66831834200616,4.66831834200616,-0.016836608478760284,0.016836608478760284,1.0,0.9999999999999999,0.0,0.0,0.0018707342754178402,0.0018707342754178402,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,8,5049,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.4205519275524,15740.0,-0.27793856186140253,1.0,1.0,0.0,0.0,0.0,-0.5854295177600761,0.5854295177600761,-0.002111391481969982,0.002111391481969982,1.0,0.9999999999999999,0.0,0.0,0.00023459905355227573,0.00023459905355227573,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,9,5150,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,329.032535292356,15740.0,-0.2757314021191035,1.0,1.0,0.0,0.0,0.0,0.02655384704348762,0.02655384704348762,9.576826032903218e-05,9.576826032903218e-05,1.0,0.9999999999999999,0.0,0.0,-1.0640917814330741e-05,1.0640917814330741e-05,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,2.0,low,10,5251,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,329.19484023218547,15740.0,-0.2751460382844462,1.0,1.0,0.0,0.0,0.0,0.18885878687297009,0.18885878687297009,0.0006811320949863253,0.0006811320949863253,1.0,0.9999999999999999,0.0,0.0,-7.568134388735714e-05,7.568134388735714e-05,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,1,4352,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,326.9093544866587,15740.0,-0.28338879849532883,1.0,1.0,0.0,0.0,0.0,-2.0966269586538147,2.0966269586538147,-0.0075616281158962795,0.0075616281158962795,1.0,0.9999999999999999,0.0,0.0,0.0008401809017661854,0.0008401809017661854,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,2,4453,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.0052308831239,15740.0,-0.27943644553294067,1.0,1.0,0.0,0.0,0.0,-1.000750562188614,1.000750562188614,-0.003609275153508118,0.003609275153508118,1.0,0.9999999999999999,0.0,0.0,0.00040103057261198227,0.00040103057261198227,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,3,4554,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.34348587036584,15740.0,-0.27821650585253455,1.0,1.0,0.0,0.0,0.0,-0.6624955749466608,0.6624955749466608,-0.0023893354731019945,0.0023893354731019945,1.0,0.9999999999999999,0.0,0.0,0.00026548171923357344,0.00026548171923357344,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,4,4655,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,323.48793579081257,15740.0,-0.29572837836192306,1.0,1.0,0.0,0.0,0.0,-5.518045654499929,5.518045654499929,-0.01990120798249051,0.01990120798249051,1.0,0.9999999999999999,0.0,0.0,0.0022112453313878344,0.0022112453313878344,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,5,4756,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,326.5748398116384,15740.0,-0.2845952484846189,1.0,1.0,0.0,0.0,0.0,-2.4311416336740876,2.4311416336740876,-0.008768078105186372,0.008768078105186372,1.0,0.9999999999999999,0.0,0.0,0.0009742309005762451,0.0009742309005762451,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,6,4857,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,328.19994794476065,15740.0,-0.2787341851704856,1.0,1.0,0.0,0.0,0.0,-0.8060335005518482,0.8060335005518482,-0.002907014791053042,0.002907014791053042,1.0,0.9999999999999999,0.0,0.0,0.000323001643450338,0.000323001643450338,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,7,4958,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,326.2745286064014,15740.0,-0.2856783413274663,1.0,1.0,0.0,0.0,0.0,-2.731452838911082,2.731452838911082,-0.009851170948033727,0.009851170948033727,1.0,0.9999999999999999,0.0,0.0,0.0010945745497815684,0.0010945745497815684,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,8,5059,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,323.0395937357805,15740.0,-0.2973453545602287,1.0,1.0,0.0,0.0,0.0,-5.966387709532,5.966387709532,-0.02151818418079615,0.02151818418079615,1.0,0.9999999999999999,0.0,0.0,0.0023909093534217885,0.0023909093534217885,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,9,5160,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,323.97555286165743,15740.0,-0.29396975414054083,1.0,1.0,0.0,0.0,0.0,-5.030428583655066,5.030428583655066,-0.018142583761108277,0.018142583761108277,1.0,0.9999999999999999,0.0,0.0,0.002015842640123111,0.002015842640123111,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,5.0,medium,10,5261,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,326.06920658207787,15740.0,-0.28641884921110744,1.0,1.0,0.0,0.0,0.0,-2.936774863234632,2.936774863234632,-0.010591678831674889,0.010591678831674889,1.0,0.9999999999999999,0.0,0.0,0.0011768532035193457,0.0011768532035193457,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,1,4362,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,344.4324752535749,15740.0,-0.22019046837634726,1.0,1.0,0.0,0.0,0.0,15.426493808262421,15.426493808262421,0.05563670200308529,0.05563670200308529,1.0,0.9999999999999999,0.0,0.0,-0.006181855778120582,0.006181855778120582,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,2,4463,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,327.47661294279123,15740.0,-0.2813429421863811,1.0,1.0,0.0,0.0,0.0,-1.5293685025212653,1.5293685025212653,-0.005515771806948566,0.005515771806948566,1.0,0.9999999999999999,0.0,0.0,0.0006128635341053901,0.0006128635341053901,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,3,4564,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,320.68219630168915,15740.0,-0.3058474691802813,1.0,1.0,0.0,0.0,0.0,-8.323785143623354,8.323785143623354,-0.03002029880084872,0.03002029880084872,1.0,0.9993894993894993,0.07407407407407407,1.0,0.0033355887556498764,0.0033355887556498764,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,4,4665,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,348.8446561464068,15740.0,-0.20427763707655341,1.0,1.0,0.0,0.0,0.0,19.838674701094305,19.838674701094305,0.07154953330287914,0.07154953330287914,1.0,0.9999999999999999,0.0,0.0,-0.007949948144764352,0.007949948144764352,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,5,4766,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,324.88807280064907,15740.0,-0.29067868874690234,1.0,1.0,0.0,0.0,0.0,-4.11790864466343,4.11790864466343,-0.014851518367469785,0.014851518367469785,1.0,0.9999999999999999,0.0,0.0,0.0016501687074965687,0.0016501687074965687,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,6,4867,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,312.7067170094615,15740.0,-0.33461157917368667,1.0,1.0,0.0,0.0,0.0,-16.299264435851,16.299264435851,-0.05878440879425412,0.05878440879425412,1.0,0.9981684981684981,0.14814814814814814,2.0,0.00653160097713934,0.00653160097713934,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,7,4968,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,324.35158922546475,15740.0,-0.29261355334886996,1.0,1.0,0.0,0.0,0.0,-4.65439221984775,4.65439221984775,-0.016786382969437408,0.016786382969437408,1.0,0.9999999999999999,0.0,0.0,0.00186515366327078,0.00186515366327078,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,8,5069,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,330.65129935829236,15740.0,-0.26989321911594,1.0,1.0,0.0,0.0,0.0,1.6453179129798627,1.6453179129798627,0.005933951263492554,0.005933951263492554,1.0,0.9999999999999999,0.0,0.0,-0.0006593279181658085,0.0006593279181658085,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,9,5170,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,327.95567415605956,15740.0,-0.2796151752488564,1.0,1.0,0.0,0.0,0.0,-1.0503072892529417,1.0503072892529417,-0.003788004869423822,0.003788004869423822,1.0,0.9999999999999999,0.0,0.0,0.00042088942993590006,0.00042088942993590006,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,elevation,10.0,high,10,5271,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,331.94875204532264,15740.0,-0.26521386751416887,1.0,1.0,0.0,0.0,0.0,2.9427706000101352,2.9427706000101352,0.010613302865263685,0.010613302865263685,1.0,0.9999999999999999,0.0,0.0,-0.0011792558739182057,0.0011792558739182057,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,position,2.0,low,1,4372,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,329.0059814453125,15740.0,-0.27582717037943255,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,250
run_05,polar_session_2026-02-03_09-55-13::run_05,polar_session_2026-02-03_09-55-13,primary,position,2.0,low,2,4473,3,success,,249.3159999999998,329.0059814453125,15740.0,-0.27582717037943255,249.316,327.3428955078125,15740.0,-0.2818252032351325,1.0,1.0,0.0,0.0,0.0,-1.6630859375,1.6630859375,-0.005998032855699942,0.005998032855699942,1.0,0.9999999999999999,0.0,0.0,0.0006664480950777651,0.0006664480950777651,250
