subset_name,session_label,run_id,run_uid,start_time_utc,end_time_utc,segmentation_valid,point_count,duration_s,vertical_drop_m,speed_mean_ms,speed_p95_ms,vvert_mean_ms,path_len_m,n_hr_samples,hr_mean_bpm,impulse_hr_above_rest_bpms,edwards_trimp,z_mech,z_internal,combined_load_v2,pipeline_status,failure_reason,perturbation_type,perturbation_level,repeat_id,seed
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,13.309913731896877,27.512202538720523,-1.524467406364601,3282.957485693645,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,5.0,5,4786
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,14.551953537257788,31.80768573658645,-1.5236880393257028,3595.4327428258803,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,5.0,6,4887
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.008544921875,13.515521496192658,31.64274538635272,-1.2997728623557956,3335.0048424131496,249,118.21285140562249,15740.0,5.749999999999999,-0.26662724212172934,-0.2922217443306067,-0.279424493226168,success,,position,5.0,7,4988
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,330.1943359375,13.476755148958294,29.38244373374208,-1.536007257032762,3325.2540136712187,249,118.21285140562249,15740.0,5.749999999999999,-0.25086083338506426,-0.2922217443306067,-0.27154128885783546,success,,position,5.0,8,5089
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.0059814453125,13.670467841091414,28.99825139205685,-1.3036032487394476,3386.312481208337,249,118.21285140562249,15740.0,5.749999999999999,-0.2594325964282584,-0.2922217443306067,-0.27582717037943255,success,,position,5.0,9,5190
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.0059814453125,14.236403452456909,30.65566528843934,-1.3041140709574075,3508.4174692109455,249,118.21285140562249,15740.0,5.749999999999999,-0.2594325964282584,-0.2922217443306067,-0.27582717037943255,success,,position,5.0,10,5291
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.7752685546875,20.54459350107387,40.233416961335564,-2.5371334885128864,5136.379141122148,249,118.21285140562249,15740.0,5.749999999999999,-0.2610967599774764,-0.2922217443306067,-0.2766592521540415,success,,position,10.0,1,4392
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,327.3428955078125,20.148147217816227,43.74325271275684,-1.442772313456567,5068.417649295625,249,118.21285140562249,15740.0,5.749999999999999,-0.2714286621396582,-0.2922217443306067,-0.2818252032351325,success,,position,10.0,2,4493
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.008544921875,19.157057813575854,36.979865136641415,-1.3012034328953304,4784.425564079062,249,118.21285140562249,15740.0,5.749999999999999,-0.26662724212172934,-0.2922217443306067,-0.279424493226168,success,,position,10.0,3,4594
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,333.8387451171875,21.593056546425267,44.79204301126431,-1.6947840583373288,5422.356692774506,249,118.21285140562249,15740.0,5.749999999999999,-0.2245732128761211,-0.2922217443306067,-0.25839747860336393,success,,position,10.0,4,4695
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.5286865234375,20.564168374950953,38.841937848826845,-1.3067851919229,5135.520966114604,249,118.21285140562249,15740.0,5.749999999999999,-0.25566225340299314,-0.2922217443306067,-0.27394199886679993,success,,position,10.0,5,4796
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,328.008544921875,21.365629332094205,41.70863128235523,-1.4339682682462294,5330.870677938208,249,118.21285140562249,15740.0,5.749999999999999,-0.26662724212172934,-0.2922217443306067,-0.279424493226168,success,,position,10.0,6,4897
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,330.9610595703125,19.392385669252633,37.531572024652355,-1.6840218740112305,4850.583445740294,249,118.21285140562249,15740.0,5.749999999999999,-0.2453303512408113,-0.2922217443306067,-0.268776047785709,success,,position,10.0,7,4998
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,330.1943359375,20.010195541343105,38.5419927586133,-1.5359260895788875,4993.291571649854,249,118.21285140562249,15740.0,5.749999999999999,-0.25086083338506426,-0.2922217443306067,-0.27154128885783546,success,,position,10.0,8,5099
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,329.5286865234375,20.218891802678744,38.95316370931187,-2.1673639696888447,5055.803992251416,249,118.21285140562249,15740.0,5.749999999999999,-0.25566225340299314,-0.2922217443306067,-0.27394199886679993,success,,position,10.0,9,5200
primary,polar_session_2026-02-03_09-55-13,run_05,polar_session_2026-02-03_09-55-13::run_05,2026-02-03 03:29:08.473000+00:00,2026-02-03 03:33:17.789000+00:00,1,250,249.316,334.50537109375,20.822079958503007,40.79446038190351,-1.552640011080965,5196.030003538113,249,118.21285140562249,15740.0,5.749999999999999,-0.21976474877967697,-0.2922217443306067,-0.25599324655514183,success,,position,10.0,10,5301
