subset_name,perturbation_type,perturbation_level,perturbation_level_label,repeat_id
strict,sampling,2.0,low,9
strict,sampling,2.0,low,10
strict,sampling,3.0,medium,1
strict,sampling,3.0,medium,2
strict,sampling,3.0,medium,3
strict,sampling,3.0,medium,4
strict,sampling,3.0,medium,5
strict,sampling,3.0,medium,6
strict,sampling,3.0,medium,7
strict,sampling,3.0,medium,8
strict,sampling,3.0,medium,9
strict,sampling,3.0,medium,10
strict,sampling,5.0,high,1
strict,sampling,5.0,high,2
strict,sampling,5.0,high,3
strict,sampling,5.0,high,4
strict,sampling,5.0,high,5
strict,sampling,5.0,high,6
strict,sampling,5.0,high,7
strict,sampling,5.0,high,8
strict,sampling,5.0,high,9
strict,sampling,5.0,high,10
strict,temporal,0.75,low,1
strict,temporal,0.75,low,2
strict,temporal,0.75,low,3
strict,temporal,0.75,low,4
strict,temporal,0.75,low,5
strict,temporal,0.75,low,6
strict,temporal,0.75,low,7
strict,temporal,0.75,low,8
strict,temporal,0.75,low,9
strict,temporal,0.75,low,10
strict,temporal,1.5,medium,1
strict,temporal,1.5,medium,2
strict,temporal,1.5,medium,3
strict,temporal,1.5,medium,4
strict,temporal,1.5,medium,5
strict,temporal,1.5,medium,6
strict,temporal,1.5,medium,7
strict,temporal,1.5,medium,8
strict,temporal,1.5,medium,9
strict,temporal,1.5,medium,10
strict,temporal,3.0,high,1
strict,temporal,3.0,high,2
strict,temporal,3.0,high,3
strict,temporal,3.0,high,4
strict,temporal,3.0,high,5
strict,temporal,3.0,high,6
strict,temporal,3.0,high,7
strict,temporal,3.0,high,8
strict,temporal,3.0,high,9
strict,temporal,3.0,high,10
