subset_name,perturbation_type,perturbation_level,perturbation_level_label,top_k_used,metric_name,n,median,mean,sd,q1,q3,iqr
primary,position,5.0,medium,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,5.0,medium,3,mean_absolute_rank_shift,270,0.0,0.007407407407407408,0.02226348915140092,0.0,0.0,0.0
primary,position,5.0,medium,3,phase_contrast_abs_deviation,270,0.00047109720931048926,0.0011850526135472649,0.0018761831087599316,0.0,0.0009283997648621423,0.0009283997648621423
primary,position,5.0,medium,3,rank_spearman,270,0.9999999999999999,0.9999389499389499,0.00018349029520380828,0.9999999999999999,0.9999999999999999,0.0
primary,position,5.0,medium,3,run_rank_shift_abs,270,0.0,0.1,0.30055710354391274,0.0,0.0,0.0
primary,position,5.0,medium,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,5.0,medium,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,5.0,medium,3,vertical_drop_abs_error_m,270,2.3167724609375,4.864425546151621,5.194668625478884,1.5604248046875,6.27294921875,4.7125244140625
primary,position,10.0,high,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,position,10.0,high,3,cl_alpha_abs_deviation,270,0.007283136929818301,0.014557437780591575,0.016539633656547252,0.003958331870639875,0.01923737842503398,0.015279046554394105
primary,position,10.0,high,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,10.0,high,3,mean_absolute_rank_shift,270,0.0,0.006858710562414265,0.02151103247605132,0.0,0.0,0.0
primary,position,10.0,high,3,phase_contrast_abs_deviation,270,0.0004398146522933688,0.000874022486227336,0.0014369678189808557,0.0,0.0008728420414338967,0.0008728420414338967
primary,position,10.0,high,3,rank_spearman,270,0.9999999999999999,0.9999434721656943,0.00017728872919810706,0.9999999999999999,0.9999999999999999,0.0
primary,position,10.0,high,3,run_rank_shift_abs,270,0.0,0.09259259259259259,0.2903989384266929,0.0,0.0,0.0
primary,position,10.0,high,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,10.0,high,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,position,10.0,high,3,vertical_drop_abs_error_m,270,2.0194091796875,4.036368362991898,4.585975570218123,1.0975341796875,5.333984375,4.2364501953125
primary,sampling,2.0,low,3,boundary_shift_mean_s,270,0.0,0.24372222222222226,0.253396347246793,0.0,0.5055000000000001,0.5055000000000001
primary,sampling,2.0,low,3,cl_alpha_abs_deviation,270,0.020030277512902095,0.031052237842094526,0.026689368064388676,0.008355597883758836,0.044761596924891345,0.03640599904113251
primary,sampling,2.0,low,3,matched_duration_fraction,270,1.0,0.9983985015588157,0.002151169641839728,0.99779676465381,1.0,0.0022032353461900467
primary,sampling,2.0,low,3,mean_absolute_rank_shift,270,0.0,0.01371742112482853,0.028827338781641346,0.0,0.0,0.0
primary,sampling,2.0,low,3,phase_contrast_abs_deviation,270,0.0009168063856391795,0.002312206408591418,0.003178172531674601,0.0,0.003663605668875136,0.003663605668875136
primary,sampling,2.0,low,3,rank_spearman,270,0.9999999999999999,0.9998869443313887,0.00023758795699155966,0.9999999999999999,0.9999999999999999,0.0
primary,sampling,2.0,low,3,run_rank_shift_abs,270,0.0,0.18518518518518517,0.38916907355215835,0.0,0.0,0.0
primary,sampling,2.0,low,3,segmentation_stability,270,1.0,0.9983985015588157,0.002151169641839728,0.99779676465381,1.0,0.0022032353461900467
primary,sampling,2.0,low,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,sampling,2.0,low,3,vertical_drop_abs_error_m,270,5.5538330078125,8.2423095703125,7.2433405650484035,2.287841796875,12.4111328125,10.123291015625
primary,sampling,3.0,medium,3,boundary_shift_mean_s,270,0.5085,0.589462962962963,0.39468866667865077,0.503,1.0095,0.5065000000000001
primary,sampling,3.0,medium,3,cl_alpha_abs_deviation,270,0.043177119513876816,0.04730007673514186,0.03346678847436179,0.01742969177606879,0.08132699555078549,0.0638973037747167
primary,sampling,3.0,medium,3,matched_duration_fraction,270,0.9969597768907137,0.9958662260839141,0.004263300309737386,0.9944218506525799,0.998779993338836,0.004358142686256117
primary,sampling,3.0,medium,3,mean_absolute_rank_shift,270,0.0,0.024691358024691357,0.04039569504808978,0.0,0.07407407407407407,0.07407407407407407
primary,sampling,3.0,medium,3,phase_contrast_abs_deviation,270,0.001106262747371023,0.0032905983810992863,0.003975849199086075,0.0,0.005140874857136102,0.005140874857136102
primary,sampling,3.0,medium,3,rank_spearman,270,0.9999999999999999,0.9997738886627775,0.00041275954243760943,0.9993894993894993,0.9999999999999999,0.0006105006105006083
primary,sampling,3.0,medium,3,run_rank_shift_abs,270,0.0,0.3333333333333333,0.5453418831492118,0.0,1.0,1.0
primary,sampling,3.0,medium,3,segmentation_stability,270,0.9969597768907137,0.9958662260839141,0.004263300309737386,0.9944218506525799,0.998779993338836,0.004358142686256117
primary,sampling,3.0,medium,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,sampling,3.0,medium,3,vertical_drop_abs_error_m,270,11.9718017578125,11.97446922019676,8.79366140980514,4.25,20.622802734375,16.372802734375
primary,sampling,5.0,high,3,boundary_shift_mean_s,270,1.0070000000000001,0.8806481481481482,0.7506032742856277,0.0,1.52,1.52
primary,sampling,5.0,high,3,cl_alpha_abs_deviation,270,0.06043548954883027,0.06996418066846102,0.0437838285008103,0.03335819439499943,0.11067759186323078,0.07731939746823135
primary,sampling,5.0,high,3,matched_duration_fraction,270,0.9954405092865098,0.9938633094241535,0.007546747999632086,0.9925374779541446,1.0,0.007462522045855402
primary,sampling,5.0,high,3,mean_absolute_rank_shift,270,0.0,0.030178326474622767,0.04631987507733121,0.0,0.07407407407407407,0.07407407407407407
primary,sampling,5.0,high,3,phase_contrast_abs_deviation,270,0.00212274011734348,0.004932135355715568,0.005364550784186453,0.0,0.011250127146966382,0.011250127146966382
primary,sampling,5.0,high,3,rank_spearman,270,0.9999999999999999,0.9997060552616107,0.0005095693982315112,0.9993894993894993,0.9999999999999999,0.0006105006105006083
primary,sampling,5.0,high,3,run_rank_shift_abs,270,0.0,0.4074074074074074,0.6253183135439712,0.0,1.0,1.0
primary,sampling,5.0,high,3,segmentation_stability,270,0.9954405092865098,0.9938633094241535,0.007546747999632086,0.9925374779541446,1.0,0.007462522045855402
primary,sampling,5.0,high,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,sampling,5.0,high,3,vertical_drop_abs_error_m,270,14.139404296875,17.864054361979168,11.820008722025317,7.795166015625,28.0740966796875,20.2789306640625
primary,temporal,0.75,low,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,temporal,0.75,low,3,cl_alpha_abs_deviation,270,0.010606621224274915,0.01940746357084916,0.01885301012173431,0.005968976031824669,0.03137696723618111,0.02540799120435644
primary,temporal,0.75,low,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,0.75,low,3,mean_absolute_rank_shift,270,0.0,0.00823045267489712,0.023322465410116663,0.0,0.0,0.0
primary,temporal,0.75,low,3,phase_contrast_abs_deviation,270,0.0006632195590916545,0.0013110138906939493,0.0019491131831254564,0.0,0.0017512361864198134,0.0017512361864198134
primary,temporal,0.75,low,3,rank_spearman,270,0.9999999999999999,0.9999321665988332,0.00019221812151195942,0.9999999999999999,0.9999999999999999,0.0
primary,temporal,0.75,low,3,run_rank_shift_abs,270,0.0,0.1111111111111111,0.31485328303657517,0.0,0.0,0.0
primary,temporal,0.75,low,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,0.75,low,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,0.75,low,3,vertical_drop_abs_error_m,270,2.94091796875,5.381144205729167,5.227409847081061,1.655029296875,8.699951171875,7.044921875
primary,temporal,1.5,medium,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,temporal,1.5,medium,3,cl_alpha_abs_deviation,270,0.010606621224274915,0.01940746357084916,0.01885301012173431,0.005968976031824669,0.03137696723618111,0.02540799120435644
primary,temporal,1.5,medium,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,1.5,medium,3,mean_absolute_rank_shift,270,0.0,0.00823045267489712,0.023322465410116663,0.0,0.0,0.0
primary,temporal,1.5,medium,3,phase_contrast_abs_deviation,270,0.0006632195590916545,0.0013110138906939493,0.0019491131831254564,0.0,0.0017512361864198134,0.0017512361864198134
primary,temporal,1.5,medium,3,rank_spearman,270,0.9999999999999999,0.9999321665988332,0.00019221812151195942,0.9999999999999999,0.9999999999999999,0.0
primary,temporal,1.5,medium,3,run_rank_shift_abs,270,0.0,0.1111111111111111,0.31485328303657517,0.0,0.0,0.0
primary,temporal,1.5,medium,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,1.5,medium,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,1.5,medium,3,vertical_drop_abs_error_m,270,2.94091796875,5.381144205729167,5.227409847081061,1.655029296875,8.699951171875,7.044921875
primary,temporal,3.0,high,3,boundary_shift_mean_s,270,0.0,0.0,0.0,0.0,0.0,0.0
primary,temporal,3.0,high,3,cl_alpha_abs_deviation,270,0.010606621224274915,0.01940746357084916,0.01885301012173431,0.005968976031824669,0.03137696723618111,0.02540799120435644
primary,temporal,3.0,high,3,matched_duration_fraction,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,3.0,high,3,mean_absolute_rank_shift,270,0.0,0.00823045267489712,0.023322465410116663,0.0,0.0,0.0
primary,temporal,3.0,high,3,phase_contrast_abs_deviation,270,0.0006632195590916545,0.0013110138906939493,0.0019491131831254564,0.0,0.0017512361864198134,0.0017512361864198134
primary,temporal,3.0,high,3,rank_spearman,270,0.9999999999999999,0.9999321665988332,0.00019221812151195942,0.9999999999999999,0.9999999999999999,0.0
primary,temporal,3.0,high,3,run_rank_shift_abs,270,0.0,0.1111111111111111,0.31485328303657517,0.0,0.0,0.0
primary,temporal,3.0,high,3,segmentation_stability,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,3.0,high,3,top_k_consistency,270,1.0,1.0,0.0,1.0,1.0,0.0
primary,temporal,3.0,high,3,vertical_drop_abs_error_m,270,2.94091796875,5.381144205729167,5.227409847081061,1.655029296875,8.699951171875,7.044921875
strict,elevation,2.0,low,3,boundary_shift_mean_s,70,0.0,0.0,0.0,0.0,0.0,0.0
strict,elevation,2.0,low,3,cl_alpha_abs_deviation,70,0.027573916822564312,0.034598154222550866,0.020511787342075732,0.01963178608702843,0.04682674519875914,0.027194959111730706
strict,elevation,2.0,low,3,matched_duration_fraction,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,2.0,low,3,mean_absolute_rank_shift,70,0.0,0.053061224489795916,0.11190963886494992,0.0,0.0,0.0
strict,elevation,2.0,low,3,phase_contrast_abs_deviation,70,0.00914904611064185,0.008175442059562,0.006576656498459891,0.0,0.013343583400905551,0.013343583400905551
strict,elevation,2.0,low,3,rank_spearman,70,1.0,0.9933673469387756,0.013988704858118687,1.0,1.0,0.0
strict,elevation,2.0,low,3,run_rank_shift_abs,70,0.0,0.18571428571428572,0.39168373602732476,0.0,0.0,0.0
strict,elevation,2.0,low,3,segmentation_stability,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,2.0,low,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,2.0,low,3,vertical_drop_abs_error_m,70,6.7208172358380125,8.43289231353665,4.999506410117839,4.785016476005865,11.413467236271572,6.628450760265707
strict,elevation,5.0,medium,3,boundary_shift_mean_s,70,0.0,0.0,0.0,0.0,0.0,0.0
strict,elevation,5.0,medium,3,cl_alpha_abs_deviation,70,0.029197435178888898,0.03080266497844654,0.02132550193559572,0.01363332058398116,0.04249742498430388,0.02886410440032272
strict,elevation,5.0,medium,3,matched_duration_fraction,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,5.0,medium,3,mean_absolute_rank_shift,70,0.0,0.053061224489795916,0.11190963886494992,0.0,0.0,0.0
strict,elevation,5.0,medium,3,phase_contrast_abs_deviation,70,0.0072492963061742965,0.007225543102769832,0.006608836963551132,0.0,0.012660815202013648,0.012660815202013648
strict,elevation,5.0,medium,3,rank_spearman,70,1.0,0.9933673469387756,0.013988704858118687,1.0,1.0,0.0
strict,elevation,5.0,medium,3,run_rank_shift_abs,70,0.0,0.18571428571428572,0.39168373602732476,0.0,0.0,0.0
strict,elevation,5.0,medium,3,segmentation_stability,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,5.0,medium,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,5.0,medium,3,vertical_drop_abs_error_m,70,7.116530700199974,7.50778654440124,5.19783975174549,3.3229612083092093,10.358246459912266,7.035285251603057
strict,elevation,10.0,high,3,boundary_shift_mean_s,70,0.0,0.0,0.0,0.0,0.0,0.0
strict,elevation,10.0,high,3,cl_alpha_abs_deviation,70,0.03016162480473275,0.03632681372258892,0.0234348481898783,0.01633870137098864,0.055518048060281766,0.039179346689293126
strict,elevation,10.0,high,3,matched_duration_fraction,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,10.0,high,3,mean_absolute_rank_shift,70,0.0,0.061224489795918366,0.1180824524855059,0.0,0.0,0.0
strict,elevation,10.0,high,3,phase_contrast_abs_deviation,70,0.00799146227675071,0.009298777774944832,0.00904417323126217,0.0,0.0154150838963545,0.0154150838963545
strict,elevation,10.0,high,3,rank_spearman,70,1.0,0.9923469387755103,0.014760306560688111,1.0,1.0,0.0
strict,elevation,10.0,high,3,run_rank_shift_abs,70,0.0,0.21428571428571427,0.4132885836992707,0.0,0.0,0.0
strict,elevation,10.0,high,3,segmentation_stability,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,10.0,high,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,elevation,10.0,high,3,vertical_drop_abs_error_m,70,7.351540557438852,8.854232692471994,5.711968040205832,3.982365889183029,13.5318698719758,9.549503982792771
strict,position,2.0,low,3,boundary_shift_mean_s,70,0.0,0.0,0.0,0.0,0.0,0.0
strict,position,2.0,low,3,cl_alpha_abs_deviation,70,0.025736420723902476,0.034231251120165354,0.021712913885659123,0.01792955285116582,0.05531868045183019,0.037389127600664374
strict,position,2.0,low,3,matched_duration_fraction,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,2.0,low,3,mean_absolute_rank_shift,70,0.0,0.04081632653061224,0.10070105383574877,0.0,0.0,0.0
strict,position,2.0,low,3,phase_contrast_abs_deviation,70,0.005976517617055255,0.007560317441966515,0.0066142023910422,0.0,0.012868210361951238,0.012868210361951238
strict,position,2.0,low,3,rank_spearman,70,1.0,0.9948979591836734,0.012587631729468498,1.0,1.0,0.0
strict,position,2.0,low,3,run_rank_shift_abs,70,0.0,0.14285714285714285,0.3524536884251207,0.0,0.0,0.0
strict,position,2.0,low,3,segmentation_stability,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,2.0,low,3,top_k_consistency,70,1.0,1.0,0.0,1.0,1.0,0.0
strict,position,2.0,low,3,vertical_drop_abs_error_m,70,6.27294921875,8.34346400669643,5.292266848487332,4.3701171875,13.4832763671875,9.1131591796875
strict,position,5.0,medium,3,boundary_shift_mean_s,70,0.0,0.0,0.0,0.0,0.0,0.0
strict,position,5.0,medium,3,cl_alpha_abs_deviation,70,0.025736420723902476,0.031999594162193654,0.022947472014669245,0.010372596902248465,0.05531868045183019,0.044946083549581725
